2021-02-19 17:12:     Restoring model from results/1613621622
2021-02-20 02:47:     Learning iteration 58000
2021-02-20 02:47:     Training loss (minibatch) : 5.306655657477677e-05
2021-02-20 02:47:     Validation loss (minibatch): 5.314809095580131e-05
2021-02-20 03:35:     Learning iteration 59000
2021-02-20 03:35:     Training loss (minibatch) : 5.1971695938846096e-05
2021-02-20 03:35:     Validation loss (minibatch): 5.2165112720103934e-05
2021-02-20 04:25:     Learning iteration 60000
2021-02-20 04:25:     Training loss (minibatch) : 4.804098716704175e-05
2021-02-20 04:25:     Validation loss (minibatch): 4.946153785567731e-05
2021-02-20 05:13:     Learning iteration 61000
2021-02-20 05:13:     Training loss (minibatch) : 4.862306741415523e-05
2021-02-20 05:13:     Validation loss (minibatch): 4.8422280087834224e-05
2021-02-20 06:01:     Learning iteration 62000
2021-02-20 06:01:     Training loss (minibatch) : 4.67925492557697e-05
2021-02-20 06:01:     Validation loss (minibatch): 4.767837526742369e-05
2021-02-20 06:50:     Learning iteration 63000
2021-02-20 06:50:     Training loss (minibatch) : 5.705749572371133e-05
2021-02-20 06:50:     Validation loss (minibatch): 5.8043795434059575e-05
2021-02-20 07:39:     Learning iteration 64000
2021-02-20 07:39:     Training loss (minibatch) : 6.585436494788155e-05
2021-02-20 07:39:     Validation loss (minibatch): 6.61801896058023e-05
2021-02-20 08:29:     Learning iteration 65000
2021-02-20 08:29:     Training loss (minibatch) : 5.417521242634393e-05
2021-02-20 08:29:     Validation loss (minibatch): 5.5187440011650324e-05
2021-02-20 09:18:     Learning iteration 66000
2021-02-20 09:18:     Training loss (minibatch) : 5.6186356232501566e-05
2021-02-20 09:18:     Validation loss (minibatch): 5.579626667895354e-05
2021-02-20 10:08:     Learning iteration 67000
2021-02-20 10:08:     Training loss (minibatch) : 4.8373694880865514e-05
2021-02-20 10:08:     Validation loss (minibatch): 4.848206299357116e-05
2021-02-20 10:58:     Learning iteration 68000
2021-02-20 10:58:     Training loss (minibatch) : 5.091964339953847e-05
2021-02-20 10:58:     Validation loss (minibatch): 4.983208782505244e-05
2021-02-20 11:47:     Learning iteration 69000
2021-02-20 11:47:     Training loss (minibatch) : 4.519512731349096e-05
2021-02-20 11:47:     Validation loss (minibatch): 4.510056896833703e-05
2021-02-20 12:35:     Learning iteration 70000
2021-02-20 12:35:     Training loss (minibatch) : 4.616628575604409e-05
2021-02-20 12:35:     Validation loss (minibatch): 4.560470188152976e-05
2021-02-20 13:25:     Learning iteration 71000
2021-02-20 13:25:     Training loss (minibatch) : 6.0846476117148995e-05
2021-02-20 13:25:     Validation loss (minibatch): 6.12422518315725e-05
2021-02-20 14:14:     Learning iteration 72000
2021-02-20 14:14:     Training loss (minibatch) : 5.155484541319311e-05
2021-02-20 14:14:     Validation loss (minibatch): 5.077435343991965e-05
2021-02-20 15:01:     Learning iteration 73000
2021-02-20 15:01:     Training loss (minibatch) : 5.224470078246668e-05
2021-02-20 15:01:     Validation loss (minibatch): 5.1290418923599645e-05
2021-02-20 15:50:     Learning iteration 74000
2021-02-20 15:50:     Training loss (minibatch) : 5.144235910847783e-05
2021-02-20 15:50:     Validation loss (minibatch): 5.203572436585091e-05
